史记（全十册）,9.5,历史,
红楼梦,9.6,文学,
海贼王,9.5,漫画,
守望者 上,9.6,漫画,
守望者 下,9.6,漫画,
加菲猫全集：40周年典藏版,9.8,漫画,
机器猫哆啦A梦23,9.5,漫画,
道德经,9.5,哲学,
艺术的故事,9.6,经典,
松风,9.6,绘本,
异形全书,9.5,科幻,
荒野之歌,9.5,艺术,
聆听音乐,9.5,艺术,
偏爱你的甜,9.5,言情,
经济学原理(第7版):微观经济学分册+宏观经济学分册(套装共2册),9.6,经济学,
经济学原理(第7版):微观经济学分册+宏观经济学分册(套装共2册),9.6,经济,
冰与火之歌,9.5,奇幻,
魔戒,9.5,奇幻,
冰与火之歌（卷三）,9.5,奇幻,
金庸全集,9.6,武侠,
金庸作品集,9.5,武侠,
灌篮高手31,9.5,日本漫画,
机器猫哆啦A梦23,9.5,日本漫画,
竹光侍 1,9.5,日本漫画,
火鳥(1),9.5,日本漫画,
荒野之歌,9.5,摄影,
珍藏布列松,9.5,摄影,
未来ちゃん,9.5,摄影,
狐狸的窗户,9.5,童话,
麒麟之生死與共,9.5,耽美,
金刚经,9.5,宗教,
异形全书,9.5,电影,
WKW,9.5,电影,
狐狸的窗户,9.5,儿童文学,
哈尔罗杰历险记(全套共14册),9.8,儿童文学,
红楼梦,9.6,古典文学,
计算机程序的构造和解释,9.5,计算机,
深入理解计算机系统,9.5,计算机,
红楼梦,9.6,名著,
具体数学（英文版第2版）,9.5,数学,
普林斯顿数学指南（第一卷）,9.5,数学,
数学指南,9.7,数学,
复分析,9.8,数学,
数学、科学和认识论,9.7,数学,
"Introduction to Linear Algebra,Fourth Edition",,9.600000,数学
Convex Optimization,9.6,数学,
三毛典藏全集,9.5,三毛,
三毛·撒哈拉之恋,9.8,三毛,
余华长篇小说,9.5,余华,
余华作品（全13册）,9.7,余华,
Modernist Cuisine,9.8,美食,
WKW,9.5,香港,
姚著中国史,9.8,中国历史,
隋唐制度渊源略论稿 唐代政治史述论稿,9.6,中国历史,
中国历史地图集（全八册）,9.6,中国历史,
读史方舆纪要,9.6,中国历史,
英语魔法师之语法俱乐部,9.5,工具书,
Merriam-Webster's Vocabulary Builder,9.7,工具书,
英语常用词疑难用法手册,9.6,工具书,
拉丁语语法新编,9.6,工具书,
Verbal Advantage,9.6,工具书,
中国历史地图集（全八册）,9.6,工具书,
计算机程序的构造和解释,9.5,编程,
深入理解计算机系统,9.5,编程,
营销管理（第15版）,9.6,营销,
大侦探波洛精选集,9.5,阿加莎·克里斯蒂,
金庸作品集,9.5,金庸,
金庸全集,9.6,金庸,
银河帝国：基地七部曲,9.5,科幻小说,
英语魔法师之语法俱乐部,9.5,英语,
Merriam-Webster's Vocabulary Builder,9.7,英语,
英语常用词疑难用法手册,9.6,英语,
Verbal Advantage,9.6,英语,
American Accent Training,9.5,英语,
美语音标,9.6,英语,
英国文学名篇选注,9.7,英语,
西南联大英文课,9.5,英语,
朗文日常情景单词书,9.7,英语,
英汉大词典,9.7,英语,
牛津英语搭配词典,9.5,英语,
道德经,9.5,国学,
老子,9.5,国学,
陈寅恪集,9.6,国学,
金明馆丛稿初编,9.7,国学,
原动画基础教程,9.6,教材,
费恩曼物理学讲义（第1卷）,9.5,教材,
"Introduction to Linear Algebra,Fourth Edition",,9.600000,教材
偏爱你的甜,9.5,温暖,
费恩曼物理学讲义（第1卷）,9.5,科学,
Verbal Advantage,9.6,英文原版,
Vincent,9.9,英文原版,
Book,9.7,英文原版,
